ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB,dissatisfied
421,Age Retirement,2013,1970,1970,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,SA,0,0,0,SA,SA,A,SA,SA,SA,SA,SA,A,A,SA,SA,SA,SA,SA,M,A,Female,61 or older,,,,,,0
422,Age Retirement,2013,1972,1984,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Male,61 or older,,,,,,0
423,Age Retirement,2013,2005,2006,Cleaner,,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,N,SA,SA,SA,D,A,A,SA,D,A,SA,SA,SA,SD,SA,Male,61 or older,,,,,,0
424,Resignation-Other employer,2013,2008,2012,Head of Curriculum/Head of Special Education,,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,0,0,0,A,N,N,A,A,SA,SA,SA,N,N,A,A,A,A,A,A,A,Male,31-35,,,,,,0
425,Other,2013,2000,2006,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,0,0,SD,N,SD,N,A,N,N,M,N,A,N,D,D,D,N,N,N,Female,51-55,,,,,,1
426,Other,2013,2009,2009,Teacher Aide,,Not Stated,,,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,M,N,A,A,N,A,A,A,SA,N,SA,A,N,N,A,Male,26-30,,,,,,1
427,Other,2013,2010,2012,Teacher Aide,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,1,A,A,SA,A,SA,A,A,A,SA,SA,SA,A,A,SA,SA,A,A,Female,46-50,,,,,,1
428,Age Retirement,2013,1993,2003,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,N,A,N,A,A,N,M,N,N,N,N,N,N,A,A,N,N,Female,61 or older,,,,,,1
429,Ill Health Retirement,2013,1984,1984,Cleaner,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,0,1,D,,SD,D,A,SD,A,N,SD,D,,SD,N,D,D,SD,N,Female,61 or older,,,,,Yes,1
430,Ill Health Retirement,2013,1976,1976,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,SA,SA,A,A,A,A,N,N,N,N,A,A,N,A,N,M,M,Female,61 or older,,,,,,1
431,Other,2012,2003,2004,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SD,1,1,0,A,D,D,SD,D,A,SD,A,D,SD,D,SD,SD,D,SD,SD,D,Female,41-45,,,,,,1
432,Age Retirement,2013,2002,2002,Cleaner,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Male,61 or older,,,,,,0
433,Resignation-Move overseas/interstate,2013,2008,2010,Technical Officer,,Central Office,,Permanent Full-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,D,1,1,1,A,A,A,N,A,A,N,A,N,N,N,N,N,D,D,N,N,Female,26-30,,,,,,1
434,Resignation-Other reasons,2013,1993,2002,Teacher,Primary,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,0,1,D,A,SD,D,N,A,SA,N,SD,D,SD,A,A,A,SD,N,N,Female,46-50,,,,,,1
435,Resignation-Other reasons,2013,2006,2010,Head of Curriculum/Head of Special Education,,Central Queensland,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,1,D,SD,D,A,A,A,SA,A,A,A,A,SA,N,N,D,SD,D,Female,26-30,,,,,,1
436,Age Retirement,2013,2003,2003,Cleaner,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,A,A,A,A,A,A,A,N,A,N,A,A,A,A,A,M,Female,51-55,,,,,,1
437,Ill Health Retirement,2013,1986,2000,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,0,0,A,SD,SD,SA,SA,SA,SA,SA,A,A,A,SA,SA,SA,SA,SD,SA,Female,46-50,,,,Yes,,0
438,Resignation-Other reasons,2013,2002,2002,Teacher,Special Education,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,True,True,False,0,0,False,SA,1,1,1,A,A,A,A,A,A,A,A,D,D,SA,A,A,A,A,N,A,Female,31-35,,,,Yes,,1
439,Resignation-Other employer,2013,Not Stated,Not Stated,Teacher,Secondary,North Queensland,,Permanent Full-time,True,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,1,N,N,D,N,N,A,N,A,N,N,N,N,N,N,N,D,D,Female,21-25,,,,,,1
440,Resignation-Other reasons,2012,1992,2009,Teacher Aide,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,A,0,1,0,A,N,N,D,A,A,D,N,D,SD,N,D,N,N,N,A,A,Female,56-60,,,,,,1
441,Age Retirement,2012,1993,1993,Guidance Officer,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,N,A,A,A,A,A,N,A,A,D,A,A,A,N,D,D,Female,61 or older,,,,,Yes,1
442,Resignation-Other reasons,2013,2010,2010,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,0,SA,SA,SA,SA,A,SA,A,N,N,N,D,N,N,A,N,A,A,Female,31-35,,,,,,1
443,Ill Health Retirement,2013,Not Stated,Not Stated,Schools Officer,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,0,0,N,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,Male,56-60,,,,,,0
444,Age Retirement,2013,1977,1999,Deputy Principal,,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,D,N,SA,A,SA,SA,SA,SA,SA,A,A,SA,SA,SA,N,A,Female,56-60,,,,,,1
445,Age Retirement,2013,1986,2006,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,1,1,D,N,A,N,A,A,D,N,N,A,A,A,N,N,A,N,A,Female,61 or older,,,,,,1
446,Ill Health Retirement,2012,1999,2009,Teacher Aide,,North Coast,,Permanent Part-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,N,1,0,1,SA,A,SD,SD,SA,SA,SA,N,N,A,N,SA,SD,SD,SD,N,N,Male,61 or older,,,,Yes,,1
447,Age Retirement,2013,1987,2000,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,A,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,A,SA,Female,61 or older,,,,,,0
448,Termination,2012,2010,2010,Public Servant,AO8 and Above,Central Office,Information and Technologies,Temporary Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,1,1,1,A,A,A,A,SA,A,SA,SA,A,SA,SA,A,A,N,N,N,A,Male,31-35,Yes,,,,,1
449,Ill Health Retirement,2013,2003,2003,Cleaner,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,N,1,1,1,A,A,A,A,A,A,A,N,A,N,N,A,A,A,N,N,A,Female,61 or older,,,,,,1
450,Resignation-Other employer,2012,Not Stated,Not Stated,Teacher,Primary,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,N,SA,SA,SA,SA,A,A,SA,SA,SA,SA,SA,SA,SA,SA,D,N,Male,36-40,,,,,,1
451,Age Retirement,2013,1970,1992,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,D,D,N,A,A,A,A,A,A,A,A,A,A,A,A,D,A,Female,61 or older,,,,,,1
452,Resignation-Other reasons,2013,2009,2012,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,21-25,,,,,,0
453,Resignation-Move overseas/interstate,2013,1991,2007,Head of Curriculum/Head of Special Education,,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,1,1,A,D,A,SA,A,A,A,A,A,A,N,A,A,A,A,D,N,Female,41-45,,,,,,1
454,Age Retirement,2013,Not Stated,Not Stated,Cleaner,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,N,A,Male,61 or older,,,,,,1
455,Resignation-Move overseas/interstate,2013,2013,2013,Public Servant,A01-A04,Central Office,Human Resources,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,0,A,N,N,A,A,SA,SA,A,N,,,A,A,A,A,A,A,Female,56-60,,,,,,1
456,Other,2013,2009,2009,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,1,1,N,SD,SD,A,A,A,SA,,A,N,D,SD,N,N,N,A,A,Female,26-30,,,,,,1
457,Resignation-Other reasons,2013,2013,2013,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,D,SD,A,A,N,A,SD,M,A,A,A,N,A,A,N,N,Female,21-25,,,,,,1
458,Voluntary Early Retirement (VER),2013,1974,1982,Teacher,Primary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,0,0,SD,D,SD,,A,SD,A,A,SD,SD,SD,SD,,A,SD,SD,,Female,56-60,,,,,,1
459,Age Retirement,2013,1972,1989,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,N,N,A,A,SA,A,A,A,N,A,A,A,A,A,A,A,A,Female,56-60,,,,,,1
460,Resignation-Move overseas/interstate,2012,2011,2013,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,N,A,SA,A,SA,A,A,SA,SA,SA,N,A,A,N,N,N,Female,36-40,,,,,,1
461,Termination,2013,2009,2009,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,SA,A,A,A,A,A,SD,N,A,N,A,A,A,A,N,SA,Female,51-55,,,,,,1
462,Resignation-Other reasons,2013,2010,2010,Teacher Aide,,Not Stated,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,51-55,,,,,,0
463,Voluntary Early Retirement (VER),2013,1981,1981,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,SA,A,A,A,SA,SA,SA,SA,A,A,A,A,A,A,A,N,SA,Female,51-55,,,,,,1
464,Ill Health Retirement,2013,1991,Not Stated,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,0,1,A,D,SD,A,SA,A,A,A,D,D,A,SA,A,A,D,SD,A,Female,41-45,,,,Yes,,1
465,Resignation-Other employer,2013,2002,2002,Teacher,Primary,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,SA,A,A,SA,SA,A,,SA,SA,,SA,A,SA,SA,N,,Female,36-40,,,,,,1
466,Age Retirement,2013,1991,2008,Teacher,Special Education,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,1,1,A,A,A,SA,SA,SA,D,SA,SA,SA,SA,SA,SA,SA,SA,A,A,Female,56-60,,,,,,1
467,Resignation-Other reasons,2013,2000,2013,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,A,0,1,1,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,N,N,Female,41-45,,,,,,1
468,Age Retirement,2012,Not Stated,Not Stated,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,1,1,1,A,SA,SA,A,A,A,A,N,A,A,A,A,A,A,A,A,A,Female,61 or older,,,,,,1
469,Ill Health Retirement,2013,1999,1999,Cleaner,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,1,1,A,A,A,A,A,A,A,A,SA,SA,A,A,A,A,A,SA,M,Female,61 or older,,,,,,1
470,Other,2013,2010,2013,Teacher,Primary,Darling Downs South West,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,A,A,A,A,A,A,A,A,A,A,A,A,A,N,A,Female,21-25,,,,,,1
471,Resignation-Other reasons,2013,1990,2013,Teacher,Primary,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,True,0,0,False,SA,0,0,1,SD,SD,SD,SD,A,A,SA,A,SA,,SA,SA,SA,SA,SA,SD,SA,Female,46-50,,,,Yes,,1
472,Resignation-Other reasons,2013,Not Stated,Not Stated,Teacher,Secondary,South East,,Permanent Part-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,0,0,A,M,SD,SD,SD,N,SD,N,,SD,,SD,SD,SD,SD,M,SD,Female,56-60,,,,,,0
473,Age Retirement,2013,1970,1998,Head of Curriculum/Head of Special Education,,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,0,0,1,A,SD,SD,SD,D,A,SA,A,SD,SD,A,A,A,A,A,D,SD,Female,61 or older,,,,,,1
474,Resignation-Other reasons,2013,1997,1997,Teacher,Primary,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,0,1,A,D,N,D,D,A,N,D,D,D,N,N,N,N,SD,SD,N,Female,51-55,,,,,,1
475,Age Retirement,2013,2002,2009,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,True,0,False,True,False,False,False,0,0,False,A,1,1,1,A,A,A,A,A,A,A,N,N,A,N,N,A,N,N,N,A,,61 or older,,,,,,1
476,Ill Health Retirement,2013,2005,2005,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,1,1,A,A,A,A,N,N,A,N,N,N,N,A,A,N,N,M,A,Female,61 or older,,,,,,1
477,Resignation-Other reasons,2013,2008,2011,Teacher,Secondary,Metropolitan,,Casual,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,0,1,N,SD,,SD,,SD,,,,N,,SD,,SD,,,A,Male,51-55,,,,,Yes,1
478,Resignation-Move overseas/interstate,2013,2004,2004,Cleaner,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,A,A,A,A,A,A,A,A,N,A,N,A,A,A,A,N,A,Male,46-50,,,,,,1
479,Resignation-Other reasons,2013,2000,Not Stated,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,SA,Female,51-55,,,,,,0
480,Resignation-Other reasons,2013,2013,2013,Teacher,Primary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,N,1,0,1,SA,N,N,SA,SA,N,N,,,,,SA,SA,SA,SA,,,Female,26-30,Yes,,,,,1
481,Age Retirement,2013,1976,1976,Teacher Aide,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,0,1,1,A,A,A,A,A,A,A,A,SA,SA,SA,A,N,N,N,A,A,Female,61 or older,,,,,,1
482,Resignation-Other reasons,2012,1990,1990,Teacher Aide,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,1,1,A,N,N,N,N,N,N,A,N,A,A,N,A,A,A,N,N,Male,41-45,,,,,,1
483,Age Retirement,2013,1999,2008,Teacher Aide,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,1,1,1,N,A,SA,A,A,SA,SA,A,,SA,SA,N,A,SA,A,,A,Female,56-60,,,,,,1
484,Age Retirement,2013,1975,2009,Head of Curriculum/Head of Special Education,,Far North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,D,A,A,A,SA,SA,SA,SA,D,D,N,A,A,A,D,A,A,Female,61 or older,,,,,,1
485,Age Retirement,2013,1988,1988,Guidance Officer,,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,1,1,SD,N,N,N,A,A,D,A,D,D,N,D,A,N,D,SD,A,Female,61 or older,,,,,,1
486,Resignation-Move overseas/interstate,2012,2005,2010,Teacher Aide,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,1,1,1,A,A,A,N,A,A,SA,A,A,A,A,N,A,A,A,N,A,Female,46-50,,,,,,1
487,Resignation-Other reasons,2013,1993,1993,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,A,0,1,1,A,D,A,A,A,A,A,A,,,,A,A,A,A,A,A,Female,41-45,,,,,,1
488,Ill Health Retirement,2012,1993,2010,Teacher Aide,,North Coast,,Permanent Part-time,False,False,True,0,0,0,0,False,False,0,False,False,False,True,True,0,0,False,SD,0,0,0,A,A,SD,SD,D,D,SD,SD,SD,M,SD,SD,SD,SD,D,SD,D,Female,61 or older,,,,,,0
489,Age Retirement,2013,1987,1992,Guidance Officer,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,1,0,SA,A,A,SA,SA,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,A,SA,Female,61 or older,,,,,,1
490,Resignation-Other reasons,2012,Not Stated,Not Stated,Cleaner,,Not Stated,,,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,N,0,1,0,N,,,A,N,A,,,,SA,,,A,A,A,N,N,Female,46-50,,,,,,1
491,Age Retirement,2013,1970,2012,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,SA,SA,SA,SA,SA,A,SA,SA,A,SA,SA,SA,N,A,Female,61 or older,,,,,,1
492,Ill Health Retirement,2013,1989,2005,Professional Officer,PO1-PO4,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,N,N,A,A,A,A,A,A,A,A,A,SA,A,SA,SA,A,Female,61 or older,,,,,,1
493,Resignation-Other reasons,2013,1974,2008,Teacher,Special Education,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,0,0,N,A,D,SD,A,SA,SA,SA,SD,SD,SD,D,SD,SD,SD,SD,SD,,61 or older,,,,,,0
494,Other,2013,1996,1996,Teacher Aide,,Not Stated,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,SA,SA,A,A,SA,SA,SA,A,N,N,A,A,SA,A,N,N,A,Female,56-60,,,,,,1
495,Resignation-Other employer,2012,1988,1988,Cleaner,,Central Queensland,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,SD,N,D,N,D,A,N,A,N,D,D,N,A,A,A,N,N,Female,56-60,,,,,,1
496,Resignation-Other reasons,2013,2012,2012,Cleaner,,Central Queensland,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,N,N,A,N,A,A,A,A,N,N,Female,46-50,,,,Yes,,1
497,Ill Health Retirement,2013,2011,2012,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,1,1,A,SD,D,A,N,A,SD,A,A,A,A,A,A,A,A,N,A,Male,51-55,,,,,,1
498,Resignation-Move overseas/interstate,2013,2009,2009,Teacher,Primary,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,D,1,1,1,A,D,N,N,N,A,A,N,D,A,D,N,N,A,A,D,A,Male,36-40,,,,,,1
499,Age Retirement,2013,1995,2010,Public Servant,A01-A04,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,SD,N,N,A,A,A,A,SA,SA,SA,A,A,A,A,A,A,Male,51-55,,,,,,1
500,Resignation-Move overseas/interstate,2013,2013,2013,Public Servant,A01-A04,Central Office,Other,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,True,True,False,False,False,0,0,False,SA,0,1,0,SA,SA,SA,SA,SA,A,A,N,SA,SA,SA,SA,SA,SA,SA,N,N,Female,26-30,,,,,,1
501,Resignation-Other employer,2013,2002,2002,Teacher,Primary,Central Queensland,Education Queensland,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,SA,A,A,A,SA,A,SA,A,A,A,N,SA,SA,SA,SA,A,A,Female,31-35,,,,,,0
502,Ill Health Retirement,2013,1971,1971,Teacher,Secondary,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,1,1,A,D,N,D,N,A,A,A,D,D,N,A,D,N,N,A,A,,61 or older,,,,,,1
503,Ill Health Retirement,2013,1977,1978,School Principal,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,True,0,0,False,SA,0,0,0,SA,D,D,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,56-60,,,,,,0
504,Resignation-Other reasons,2013,1972,2013,Teacher,Secondary,North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,1,0,D,D,D,SD,N,SD,D,N,D,D,N,N,D,D,D,D,D,Male,61 or older,,,,,,1
505,Resignation-Move overseas/interstate,2013,2008,2011,Teacher,Secondary,South East,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,SA,A,N,A,SA,SA,A,N,A,A,SA,A,A,A,A,D,A,Male,36-40,,,,,,1
506,Resignation-Other reasons,2013,1989,Not Stated,Teacher,Special Education,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,SA,1,0,0,A,D,A,SA,SA,SA,SA,N,SA,SA,SA,SA,SA,SA,SA,N,N,Female,46-50,,,,,,1
507,Resignation-Other reasons,2013,2009,2010,Public Servant,A01-A04,North Coast,,Permanent Full-time,True,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,SA,A,D,N,N,A,A,A,A,A,A,D,A,N,N,SD,A,Female,21-25,,,,,,1
508,Ill Health Retirement,2013,1992,1994,Public Servant,A01-A04,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,1,1,A,A,A,A,A,A,A,A,N,N,A,A,A,A,A,N,A,Female,46-50,,,,,,1
509,Ill Health Retirement,2013,Not Stated,Not Stated,Teacher Aide,Primary,Central Office,Early Childhood Education and Care,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,0,1,SA,SA,SA,SA,SA,SA,SA,,,A,,SA,SA,SA,SA,,A,Female,56-60,,,,,,1
510,Age Retirement,2013,1995,1995,Teacher,Primary,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,N,0,0,1,A,SD,A,SA,N,A,SA,SA,SA,N,SA,A,SA,SA,SA,M,N,Male,51-55,,,,,,1
511,Other,2013,2013,2013,Other,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,N,N,Male,36-40,,,,,,0
512,Age Retirement,2013,1970,1975,Teacher,Secondary,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,D,N,N,N,SA,A,A,A,A,A,A,A,N,N,N,N,A,Male,61 or older,,,,,,1
513,Age Retirement,2014,1977,1977,Teacher,Secondary,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,D,1,1,1,D,D,N,A,SA,A,A,N,N,D,D,N,A,A,A,D,A,Female,56-60,,,,,,1
514,Age Retirement,2013,1965,1975,Teacher,Secondary,Central Office,Education Queensland,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,1,1,1,A,A,A,A,A,SA,A,SA,,A,A,A,A,A,A,A,A,Female,61 or older,,,,,,1
